,,,,,,
,0.2,0.1,0.2,tapC,,
,0,0.1,38.1,tapC,,
,9.8,1.6,85.2,tapC,,
,12.7,1.6,141.9,tapC,,
,13.5,1.6,209.3,tapC,,
,13.5,1.6,303.3,tapC,,
,13.5,1.6,399.1,tapC,,
,13.5,1.5,455.9,tapC,,
,13.5,1.5,455.7,tapC,,
,13.5,1.7,455.7,tapC,,
,13.5,2.5,455.7,tapC,,
,14.1,3.5,417.8,tapC,,
,5.9,2.5,370.7,tapC,,
,3.7,2.5,314,tapC,,
,3.1,2.5,246.6,tapC,,
,3.1,2.5,152.6,tapC,,
,3.1,2.5,56.8,tapC,,
,3.1,2.5,0,tapC,,
,3.1,2.5,28.5,tapC,,
,3.1,4.4,122.8,tapC,,
,3.1,4.1,188.1,tapC,,
,2.5,3.1,251.5,tapC,,
,0.9,2.6,349.6,tapC,,
,0.2,2.6,437.2,tapC,,
,0,2.6,499.1,tapC,,
,0,2.6,513.7,tapC,,
,0.2,2.6,513.7,tapC,,
,0.2,3.1,513.7,tapC,,
,0.4,3.7,485.2,tapC,,
,0.9,2,390.9,tapC,,
,2.2,1.9,325.6,tapC,,
,3.1,2,262.2,tapC,,
,4.4,2.1,164.1,tapC,,
,4.5,2.1,76.5,tapC,,
,4.5,2.1,14.6,tapC,,
,4.5,2.1,37.9,tapC,,
,4.3,2.9,135.3,tapC,,
,4.3,2.4,212.6,tapC,,
,4.1,1.8,283.4,tapC,,
,3.6,1.4,376.5,tapC,,
,2.3,1,476.2,tapC,,
,1.4,0.9,547.6,tapC,,
,0.1,0.8,570.3,tapC,,
,0,0.8,570.3,tapC,,
,0,0.8,570.3,tapC,,
,0,1.4,532.4,tapC,,
,0.7,1.5,435,tapC,,
,2.4,2.2,357.7,tapC,,
,3.1,2.2,286.9,tapC,,
,3.8,3.1,193.8,tapC,,
,3.8,3.1,94.1,tapC,,
,3.8,3.1,22.7,tapC,,
,3.8,4.7,98.7,tapC,,
,3.8,4.7,187.3,tapC,,
,3.8,4.7,267.6,tapC,,
,3.8,4.1,369.9,tapC,,
,3.1,3.2,472.2,tapC,,
,1.4,2.5,562.1,tapC,,
,0.7,2.5,605,tapC,,
,0,1.6,605,tapC,,
,0,1.6,605,tapC,,
,0,2.6,605,tapC,,
,0.5,2.3,506.3,tapC,,
,1.3,3.1,417.7,tapC,,
,2.7,3.1,337.4,tapC,,
,3,3.1,235.1,tapC,,
,3,3.1,132.8,tapC,,
,3,3.2,42.9,tapC,,
,3.1,3.2,0,tapC,,
,3.1,3.2,0,tapC,,
,14.4,7.5,99,tapC,,
,18.4,6.5,175.8,tapC,,
,19.7,5.2,239.1,tapC,,
,19.5,4.4,340.7,tapC,,
,18.1,4.4,443,tapC,,
,18.1,4.4,537.9,tapC,,
,18.4,4.4,585,tapC,,
,18.4,4.3,585,tapC,,
,18.3,4.7,585,tapC,,
,18.5,5.9,585,tapC,,
,8.1,3.1,486,tapC,,
,4.7,3.1,409.2,tapC,,
,3,3.1,345.9,tapC,,
,2.5,3.1,244.3,tapC,,
,2.5,3.1,142,tapC,,
,2.2,3.2,47.1,tapC,,
,2,3.2,0,tapC,,
,2,6.1,102.3,tapC,,
,7.9,5.7,188,tapC,,
,11.1,4.5,255.4,tapC,,
,11.4,3,354.8,tapC,,
,10.9,3,456.7,tapC,,
,10.8,3,529.6,tapC,,
,10.8,3,563.4,tapC,,
,10.8,3,563.4,tapC,,
,10.8,2.9,563.4,tapC,,
,10.8,3.5,563.4,tapC,,
,11.4,1.8,461.1,tapC,,
,6.7,1.8,375.4,tapC,,
,4.2,1.8,308,tapC,,
,3.3,1.9,208.6,tapC,,
,3.2,1.9,106.7,tapC,,
,3.2,2,33.8,tapC,,
,3.1,2,0,tapC,,
,3.1,2,0,tapC,,
,3.1,2,55.5,tapC,,
,12.5,1.9,103.6,tapC,,
,20,1.9,130.1,tapC,,
,21.8,2,177.7,tapC,,
,21.9,2,230.2,tapC,,
,21.6,1.9,281.2,tapC,,
,21.6,1.9,295.5,tapC,,
,21.6,2,295.5,tapC,,
,21.6,3.9,295.5,tapC,,
,22.8,4.8,295.5,tapC,,
,23.1,4.8,240,tapC,,
,13.6,4.3,191.9,tapC,,
,5.5,3.1,165.4,tapC,,
,2.9,3.3,117.8,tapC,,
,1.9,3.3,65.3,tapC,,
,1.9,3.3,14.3,tapC,,
,1.9,3.3,0,tapC,,
,1.9,6.7,102.3,tapC,,
,12.1,4.8,138.4,tapC,,
,15.8,3.9,143.7,tapC,,
,17.2,3.9,147.3,tapC,,
,17.9,3.9,193,tapC,,
,18,3.9,240.3,tapC,,
,17.6,3.6,247.7,tapC,,
,17.8,3.7,247.7,tapC,,
,18.2,4.9,247.7,tapC,,
,19.5,4.9,247.7,tapC,,
,20.2,1.3,145.4,tapC,,
,10.1,1.3,109.3,tapC,,
,5.3,1.3,104,tapC,,
,3.6,1.3,100.4,tapC,,
,2.9,1.3,54.7,tapC,,
,2.8,1.3,7.4,tapC,,
,2.8,1.3,0,tapC,,
,2.6,1.2,76.1,tapC,,
,20.2,0,136,tapC,,
,26,0,159.4,tapC,,
,28.4,0,203.4,tapC,,
,29.5,0,287.2,tapC,,
,29.7,0,359.9,tapC,,
,29.7,0,376.9,tapC,,
,29.7,0.1,376.9,tapC,,
,29.9,0.9,376.9,tapC,,
,29.9,2.2,376.9,tapC,,
,31.2,2.4,300.8,tapC,,
,14.2,2.4,240.9,tapC,,
,7.9,2.4,217.5,tapC,,
,5.1,2.4,173.5,tapC,,
